"dep","nouvelle","anciennes","date","population","chflieu","jorf"
"27","Mesnil-en-Ouche","Ajou|La Barre-en-Ouche|Beaumesnil|Bosc-Renoult-en-Ouche|Épinay|Gisay-la-Coudre|Gouttières|Granchain|Jonquerets-de-Livet|Landepéreuse|La Roussière|Saint-Aubin-des-Hayes|Saint-Aubin-le-Guichard|Sainte-Marguerite-en-Ouche|Saint-Pierre-du-Mesnil|Thevray",,,,
"27","Mesnils-sur-Iton","Condé-sur-Iton|Damville|Gouville|Manthelon|Le Roncenay-Authenay|Le Sacq",,,,
"27","Sainte-Marie-d'Attez","Dame-Marie|Saint-Nicolas-d'Attez|Saint-Ouen-d'Attez",,,,
"27","Sylvains-les-Moulins","Sylvains-les-Moulins|Villalet",,,,
"27","Vexin-sur-Epte","Berthenonville|Bus-Saint-Rémy|Cahaignes|Cantiers|Civières|Dampsmesnil|Écos|Fontenay-en-Vexin|Forêt-la-Folie|Fourges|Fours-en-Vexin|Guitry|Panilleuse|Tourny",,,,
"28","Auneau-Bleury-Saint-Symphorien","Auneau|Bleury-Saint-Symphorien",,5641,"Auneau","JORFTEXT000031690248"
"28","Éole-en-Beauce","Baignolet|Fains-la-Folie|Germignonville|Viabon",,,,
"28","Gommerville","Gommerville|Orlu",,673,"Gommerville","JORFTEXT000031690266"
"28","Les Villages-Vovéens","Montainville|Rouvray-Saint-Florentin|Villeneuve-Saint-Nicolas|Voves",,3842,"Voves","JORFTEXT000031680361"
"28","Mittainvilliers-Vérigny","Mittainvilliers|Vérigny",,,,
"28","Theuville","Pézy|Theuville",,,"Theuville",
"29","Audierne","Audierne|Esquibien",,3839,"Audierne","JORFTEXT000031690191"
"32","Castelnau-d’Auzan-Labarrère","Castelnau-d’Auzan|Labarrère",,,,
"33","Val-de-Virvée","Aubie-et-Espessas|Saint-Antoine|Salignac",,,,
"35","Guipry-Messac","Guipry|Messac",,6823,"Messac","JORFTEXT000031690143"
"35","La Chapelle-du-Lou-du-Lac","La Chapelle-du-Lou|Le Lou-du-Lac",,,,
"36","Levroux","Levroux|Saint-Martin-de-Lamps",,3048,"Levroux","JORFTEXT000031690164"
"36","Saint-Maur","Saint-Maur|Villers-les-Ormes",,,"Saint-Maur",
"36","Val-Fouzon","Parpeçay|Sainte-Cécile|Varennes-sur-Fouzon",,1061,"Varennes-sur-Fouzon","JORFTEXT000031690287"
"38","Autrans-Méaudre-en-Vercors","Méaudre|Autrans",,,"Méaudre",
"38","Crêts-en-Belledonne","Saint-Pierre-d'Allevard|Morêtel-de-Mailles",,,"Saint-Pierre-d'Allevard",
"38","Les Avenières-Veyrins-Thuellin","Les Avenières|Veyrins-Thuellin",,,"Les Avenières",
"38","Saint-Antoine-l'Abbaye","Saint-Antoine-l'Abbaye|Dionay",,,"Saint-Antoine-l'Abbaye",
"39","Arlay","Arlay|Saint-Germain-lès-Arlay",,1258,"Arlay","JORFTEXT000031690203"
"39","Hauteroche","Crançot|Granges-sur-Baume|Mirebel",,994,"Crançot",
"39","La Chailleuse","Arthenas|Essia|Saint-Laurent-la-Roche|Varessia",,620,"Arthenas","JORFTEXT000031690206"
"39","Lavans-lès-Saint-Claude","Lavans-lès-Saint-Claude|Ponthoux",,2084,"Lavans-lès-Saint-Claude","JORFTEXT000031690200"
"39","Mièges","Esserval-Combe|Mièges|Molpré",,129,"Mièges","JORFTEXT000031665442"
"39","Mignovillard","Mignovillard|Communailles-en-Montagne",,805,"Mignovillard","JORFTEXT000031690278"
"39","Nanchez","Chaux-des-Prés|Prénovel",,,,
"39","Val-d'Épy","Val-d'Épy|Florentia|Nantey|Senaud",,312,"Val-d'Épy",
"41","Beauce-la-Romaine","La Colombe|Membrolles|Ouzouer-le-Marché|Prénouvellon|Semerville|Tripleville|Verdes",,3490,"Ouzouer-le-Marché","JORFTEXT000031690230"
"41","Montrichard Val de Cher","Montrichard|Bourré",,4167,"Montrichard","JORFTEXT000031690290"
"41","Valencisse","Molineuf|Orchaise",,,,
"42","Chalmazel-Jeansagnière","Chalmazel|Jeansagnière",,484,"Chalmazel","JORFTEXT000031690197"
"44","Chaumes-en-Retz","Chéméré|Arthon-en-Retz",,,"Arthon-en-Retz",
"44","Divatte-sur-Loire","Barbechat|La Chapelle-Basse-Mer",,,"La Chapelle-Basse-Mer",
"44","Loireauxence","Belligné|La Chapelle-Saint-Sauveur|La Rouxière|Varades",,,"Varades",
"44","Machecoul-Saint-Même","Machecoul|Saint-Même-le-Tenu",,,"Machecoul",
"44","Vair-sur-Loire","Anetz|Saint-Herblon",,,"Saint-Herblon",
"44","Villeneuve-en-Retz","Bourgneuf-en-Retz|Fresnay-en-Retz",,,"Bourgneuf-en-Retz",
"45","Douchy-Montcorbon","Douchy|Montcorbon",,1544,"Douchy",
"45","Le Malesherbois","Coudray|Labrosse|Mainvilliers|Malesherbes|Manchecourt|Nangeville|Orveau-Bellesauve",,,,
"46","Cœur-de-Causse","Beaumat|Fontanes-du-Causse|Labastide-Murat|Saint-Sauveur-la-Vallée|Vaillac",,1009,"Labastide-Murat","JORFTEXT000031690212"
"46","Montcuq-en-Quercy-Blanc","Montcuq|Lebreil|Valprionde|Belmontet|Sainte-Croix",,1839,"Montcuq","JORFTEXT000031665466"
"46","Sousceyrac-en-Quercy","Calviac|Comiac|Lacam-d'Ourcet|Lamativie|Sousceyrac",,1484,"Sousceyrac","JORFTEXT000031665433"
"48","Banassac-Canilhac","Banassac|Canilhac",,1065,"Banassac","JORFTEXT000031665430"
"48","Bédouès-Cocurès","Bédouès|Cocurès",,,,
"48","Bourgs-sur-Colagne","Chirac|Le Monastier-Pin-Moriès",,,,
"48","Cans-et-Cévennes","Saint-Julien-d'Arpaon|Saint-Laurent-de-Trèves",,,,
"48","Florac-Trois-Rivières","Florac|La Salle-Prunet",,,,
"48","Naussac-Fontanes","Naussac|Fontanes",,356,"Naussac","JORFTEXT000031665427"
"48","Pont-de-Montvert-Sud-Mont-Lozère","Fraissinet-de-Lozère|Le Pont-de-Montvert|Saint-Maurice-de-Ventalon",,,,
"48","Ventalon-en-Cévennes","Saint-Frézal-de-Ventalon|Saint-Andéol-de-Clerguemort",,,,
"49","Baugé-en-Anjou","Baugé-en-Anjou|Bocé|Chartrené|Cheviré-le-Rouge|Clefs-Val d'Anjou|Cuon|Échemiré|Fougeré|Le Guédeniau|Saint-Quentin-lès-Beaurepaire",,12114,"Baugé-en-Anjou","JORFTEXT000031665355"
"49","Beaufort-en-Anjou","Beaufort-en-Vallée|Gée",,,"Beaufort-en-Vallée",
"49","Beaupréau-en-Mauges","Andrezé|Beaupréau|La Chapelle-du-Genêt|Gesté|Jallais|La Jubaudière|Le Pin-en-Mauges|La Poitevinière|Saint-Philbert-en-Mauges|Villedieu-la-Blouère",,,,
"49","Bellevigne-en-Layon","Champ-sur-Layon|Faveraye-Mâchelles|Faye-d'Anjou|Rablay-sur-Layon|Thouarcé",,5841,"Thouarcé","JORFTEXT000031665484"
"49","Blaison-Saint-Sulpice","Blaison-Gohier|Saint-Sulpice",,,"Blaison-Gohier",
"49","Chemillé-en-Anjou","Chanzeaux|La Chapelle-Rousselin|Chemillé-Melay|Cossé-d’Anjou|La Jumellière|Neuvy-en-Mauges|Sainte-Christine|Saint-Georges-des-Gardes|Saint-Lézin|La Salle-de-Vihiers|La Tourlandry|Valanjou",,,,
"49","Chénillé-Champteussé","Chenillé-Changé|Champteussé-sur-Baconne",,,"Champteussé-sur-Baconne",
"49","Erdre-en-Anjou","Brain-sur-Longuenée|Gené|La Pouëze||Vern-d'Anjou",,,,
"49","Gennes-Val-de-Loire","Chênehutte-Trèves-Cunault|Gennes|Grézillé|Saint-Georges-des-Sept-Voies|Le Thoureil",,4989,"Gennes",
"49","Jarzé Villages","Beauvau|Chaumont-d'Anjou|Jarzé|Lué-en-Baugeois",,,"Jarzé",
