"dep","nouvelle","anciennes","date","population","chflieu","jorf"
"51","Aÿ-Champagne","Ay|Bisseuil|Mareuil-sur-Ay",,,,
"51","Val-de-Livre","Louvois|Tauxières-Mutry",,,,
"52","Le Montsaugeonnais","Montsaugeon|Prauthoy|Vaux-sous-Aubigny",,,,
"52","Villegusien-le-Lac","Heuilley-Cotton|Villegusien-le-Lac",,,,
"53","Loiron-Ruillé","Loiron|Ruillé-le-Gravelais",,2506,"Loiron","JORFTEXT000031665508"
"53","Pré-en-Pail-Saint-Samson","Pré-en-Pail|Saint-Samson",,,"Pré-en-Pail",
"53","Sainte-Suzanne-et-Chammes","Sainte-Suzanne|Chammes",,1356,"Sainte-Suzanne","JORFTEXT000031665460"
"56","Évellys","Naizin|Moustoir-Remungol|Remungol",,3359,"Naizin",
"56","Theix-Noyalo","Theix|Noyalo",,,,
"56","Val-d'Oust","La Chapelle-Caro|Quily|Le Roc-Saint-André",,,"Le Roc-Saint-André",
"57","Ancy-Dornot","Ancy-sur-Moselle|Dornot",,,"Ancy-sur-Moselle",
"58","Beaulieu","Beaulieu|Dompierre-sur-Héry|Michaugues",,,,
"59","Ghyvelde","Ghyvelde|Les Moëres",,,,
"59","Téteghem-Coudekerque-Village","Coudekerque-Village|Téteghem",,,,
"60","Anserville-Bornel-Fosseuse","Anserville|Bornel|Fosseuse",,,,
"61","Athis-Val de Rouvre","Athis-de-l'Orne|Bréel|La Carneille|Notre-Dame-du-Rocher|Ronfeugerai|Ségrie-Fontaine|Taillebois|Les Tourailles",,,"Athis-de-l'Orne",
"61","Bagnoles-de-l'Orne-Normandie","Bagnoles-de-l'Orne|Saint-Michel-des-Andaines",,,"Bagnoles-de-l'Orne",
"61","Chailloué","Chailloué|Neuville-près-Sées|Marmouillé",,,"Chailloué",
"61","Cour-Maugis sur Huisne","Boissy-Maugis|Courcerault|Maison-Maugis|Saint-Maurice-sur-Huisne",,,"Boissy-Maugis",
"61","Domfront-en-Poiraie","Domfront|La Haute-Chapelle|Rouellé",,,"Domfront",
"61","Écouché-les-Vallées","Batilly|La Courbe|Écouché|Loucé|Saint-Ouen-sur-Maire|Serans",,2027,"Ecouché","JORFTEXT000031665478"
"61","Écouves","Forges|Radon|Vingt-Hanaps",,1799,"Radon","JORFTEXT000031665415"
"61","Juvigny-Val-d'Andaine","Beaulandais|La Baroche-sous-Lucé|Juvigny-sous-Andaine|Lucé|Loré|Saint-Denis-de-Villenette|Sept-Forges",,2221,"Juvigny-sous-Andaine",
"61","La Ferté-en-Ouche","Anceins|Bocquencé|Couvains|La Ferté-Frênel|Gauville|Glos-la-Ferrière|Heugon|Monnai|Saint-Nicolas-des-Laitiers|Villers-en-Ouche",,3316,"La Ferté-Frênel","JORFTEXT000031665475"
"61","Les Monts d'Andaine","Saint-Maurice-du-Désert|La Sauvagère",,1763,"La Sauvagère","JORFTEXT000031665418"
"61","Longny-les-Villages","La Lande-sur-Eure|Longny-au-Perche|Malétable|Marchainville|Monceaux-au-Perche|Moulicent|Neuilly-sur-Eure|Chailloué|Neuville-près-Sées|Marmouillé",,,"Chailloué",
"61","Passais-Villages","L'Epinay-le-Comte|Passais-la-Conception|Saint-Siméon",,1241,"Passais-la-Conception",
"61","Perche-en-Nocé","Colonard-Corubert|Dancé|Nocé|Préaux-du-Perche|Saint-Aubin-des-Grois|Saint-Jean-de-la-Forêt",,,,
"61","Putanges-le-Lac","Chênedouit|La Forêt-Auvray|La Fresnaye-au-Sauvage|Ménil-Jean|Putanges-Pont-Écrepin|Rabodanges|Les Rotours|Saint-Aubert-sur-Orne|Sainte-Croix-sur-Orne",,2156,"Putanges-Pont-Écrepin",
"61","Rémalard-en-Perche","Rémalard|Bellou-sur-Huisne|Dorceau",,2124,"Rémalard","JORFTEXT000031665376"
"61","Rives d'Andaine","La Chapelle-d'Andaine|Couterne|Geneslay|Haleine",,,"La Chapelle-d'Andaine",
